a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
ポラール,島根県出雲市上塩冶町, ＪＲ山陰本線/出雲市駅 車3分(1.5km)   , 築30年 2階建 ,             1階,3.3万円,-,-,3.3万円,ワンルーム,29.35m2
ジュネパレス,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 車6分(2.7km)   , 築30年 2階建 ,             2階,3万円,3000円,-,3万円,1K,25.92m2
コーポシャローム,島根県出雲市上塩冶町, ＪＲ山陰本線/出雲市駅 歩10分   , 築45年 2階建 ,             2階,3.2万円,-,3.2万円,3.2万円,1K,24.24m2
直江町貸家,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩23分   , 築36年 3階建 ,             1-2階,35万円,-,105万円,35万円,8LDK,479.14m2
みどりハイツ,島根県出雲市大津新崎町５, 一畑電気鉄道松江線/大津町駅 歩6分 ＪＲ山陰本線/出雲市駅 歩19分  , 築36年 3階建 ,             2階,2.8万円,2000円,5.6万円,2.8万円,1K,22.4m2
みどりハイツ,島根県出雲市大津新崎町５, 一畑電気鉄道松江線/大津町駅 歩6分 ＪＲ山陰本線/出雲市駅 歩19分  , 築36年 3階建 ,             3階,2.8万円,2000円,5.6万円,2.8万円,1K,22.4m2
みどりハイツ,島根県出雲市大津新崎町５, 一畑電気鉄道松江線/大津町駅 歩6分 ＪＲ山陰本線/出雲市駅 歩19分  , 築36年 3階建 ,             3階,2.8万円,2000円,5.6万円,2.8万円,1K,22.4m2
みどりハイツ,島根県出雲市大津新崎町５, 一畑電気鉄道松江線/大津町駅 歩6分 ＪＲ山陰本線/出雲市駅 歩19分  , 築36年 3階建 ,             2階,2.8万円,2000円,5.6万円,2.8万円,1K,22.4m2
白銀アパート,島根県出雲市大津町, 一畑電気鉄道松江線/出雲科学館パーク前駅 歩7分 ＪＲ山陰本線/出雲市駅 歩18分  , 築55年 2階建 ,             1-2階,3万円,-,-,-,1DK,34.25m2
ベガス　エラーラ,島根県出雲市斐川町上直江, ＪＲ山陰本線/出雲市駅 バス13分 (バス停)斐川西中入口 歩15分 ＪＲ山陰本線/直江駅 歩20分  , 築7年 2階建 ,             2階,6.3万円,2000円,12.6万円,6.3万円,2LDK,67.75m2
グレース斐川,島根県出雲市斐川町上庄原, ＪＲ山陰本線/出雲市駅 バス20分 (バス停)斐川支所前 歩9分 ＪＲ山陰本線/直江駅 歩38分  , 築11年 3階建 ,             1階,6.2万円,-,12.4万円,6.2万円,2LDK,55.1m2
グレース斐川,島根県出雲市斐川町上庄原, ＪＲ山陰本線/出雲市駅 バス20分 (バス停)斐川支所前 歩9分 ＪＲ山陰本線/直江駅 歩38分  , 築11年 3階建 ,             1階,6.2万円,-,12.4万円,6.2万円,2LDK,55.1m2
グレース斐川,島根県出雲市斐川町上庄原, ＪＲ山陰本線/出雲市駅 バス20分 (バス停)斐川支所前 歩9分 ＪＲ山陰本線/直江駅 歩38分  , 築11年 3階建 ,             2階,6.3万円,-,12.6万円,6.3万円,2LDK,55.1m2
Ａｒｇｅ　Ｑｕａｌｉｓｔａ（アージュ　クオリスタ）,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 バス8分 (バス停)古志橋東詰 歩2分 ＪＲ山陰本線/出雲市駅 歩22分  , 築6年 2階建 ,             1階,5.7万円,3000円,11.4万円,5.7万円,1LDK,42.75m2
ディオーネ,島根県出雲市高松町, ＪＲ山陰本線/出雲市駅 バス20分 (バス停)井出分 歩2分   , 築9年 2階建 ,             1階,4.8万円,3000円,4.8万円,-,1LDK,33.02m2
ボヌール・エムセゾン,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 バス6分 (バス停)有原入口 歩7分 ＪＲ山陰本線/出雲市駅 歩28分  , 築12年 2階建 ,             2階,6.5万円,-,13万円,6.5万円,2LDK,67.4m2
ヴィオラ白枝,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 バス8分 (バス停)白枝 歩6分 ＪＲ山陰本線/出雲市駅 歩30分  , 築11年 3階建 ,             1階,6.6万円,-,13.2万円,6.6万円,2LDK,60.76m2
ロイヤルマンションスズキ,島根県出雲市高岡町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)ゆめタウン出雲前 歩13分 一畑電気鉄道松江線/武志駅 歩17分 ＪＲ山陰本線/出雲市駅 歩34分 , 築27年 4階建 ,             1階,5.48万円,-,10.96万円,-,2SLDK,67.64m2
ロイヤルマンションスズキ,島根県出雲市高岡町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)ゆめタウン出雲前 歩13分 一畑電気鉄道松江線/武志駅 歩17分 ＪＲ山陰本線/出雲市駅 歩34分 , 築27年 4階建 ,             4階,5.48万円,-,10.96万円,-,2SLDK,67.64m2
ロイヤルマンションスズキ,島根県出雲市高岡町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)ゆめタウン出雲前 歩13分 一畑電気鉄道松江線/武志駅 歩17分 ＪＲ山陰本線/出雲市駅 歩34分 , 築27年 4階建 ,             1階,5.48万円,-,10.96万円,-,2SLDK,67.64m2
ロイヤルマンションスズキ,島根県出雲市高岡町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)ゆめタウン出雲前 歩13分 一畑電気鉄道松江線/武志駅 歩17分 ＪＲ山陰本線/出雲市駅 歩34分 , 築27年 4階建 ,             3階,5.48万円,-,10.96万円,-,2SLDK,67.64m2
ロイヤルマンションスズキ,島根県出雲市高岡町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)ゆめタウン出雲前 歩13分 一畑電気鉄道松江線/武志駅 歩17分 ＪＲ山陰本線/出雲市駅 歩34分 , 築27年 4階建 ,             2階,5.48万円,-,10.96万円,-,2SLDK,67.64m2
ロイヤルマンションスズキ,島根県出雲市高岡町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)ゆめタウン出雲前 歩13分 一畑電気鉄道松江線/武志駅 歩17分 ＪＲ山陰本線/出雲市駅 歩34分 , 築27年 4階建 ,             3階,5.48万円,-,10.96万円,-,2SLDK,67.64m2
コーポラムセス,島根県出雲市大塚町, ＪＲ山陰本線/出雲市駅 バス8分 (バス停)姫原北 歩3分 ＪＲ山陰本線/出雲市駅 歩24分  , 築20年 2階建 ,             1階,5.5万円,-,11万円,-,3DK,54.04m2
ジュエル白枝,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 バス8分 (バス停)白枝 歩7分 ＪＲ山陰本線/出雲市駅 歩29分  , 築14年 3階建 ,             2階,6.4万円,-,12.8万円,6.4万円,2LDK,55.1m2
ジュエル白枝,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 バス8分 (バス停)白枝 歩7分 ＪＲ山陰本線/出雲市駅 歩29分  , 築14年 3階建 ,             3階,6.4万円,-,12.8万円,6.4万円,2LDK,55.1m2
パレオス,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス3分 (バス停)観音寺西 歩5分 ＪＲ山陰本線/出雲市駅 歩16分  , 築22年 2階建 ,             2階,5.4万円,-,10.8万円,5.4万円,2LDK,55.83m2
パレオス,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス3分 (バス停)観音寺西 歩5分 ＪＲ山陰本線/出雲市駅 歩16分  , 築22年 2階建 ,             1階,5.4万円,-,10.8万円,5.4万円,2LDK,55.83m2
パレオス,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス3分 (バス停)観音寺西 歩5分 ＪＲ山陰本線/出雲市駅 歩16分  , 築22年 2階建 ,             1階,5.4万円,-,10.8万円,5.4万円,2LDK,55.83m2
シンセリティ大社,島根県出雲市大社町中荒木, ＪＲ山陰本線/出雲市駅 バス17分 (バス停)浜根 歩4分 一畑電車大社線/出雲大社前駅 歩30分  , 築18年 3階建 ,             2階,6.3万円,-,12.6万円,-,3LDK,65m2
ブルーム白枝,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 バス7分 (バス停)願楽寺入口 歩1分 ＪＲ山陰本線/出雲市駅 歩30分  , 築13年 3階建 ,             1階,6.3万円,-,12.6万円,6.3万円,2LDK,55.1m2
ブルーム白枝,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 バス7分 (バス停)願楽寺入口 歩1分 ＪＲ山陰本線/出雲市駅 歩30分  , 築13年 3階建 ,             2階,6.4万円,-,12.8万円,6.4万円,2LDK,55.1m2
ブルーム白枝,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 バス7分 (バス停)願楽寺入口 歩1分 ＪＲ山陰本線/出雲市駅 歩30分  , 築13年 3階建 ,             2階,6.5万円,-,13万円,6.5万円,2LDK,55.1m2
レジデンス枝大津,島根県出雲市枝大津町, ＪＲ山陰本線/出雲市駅 バス4分 (バス停)商工会議所入口 歩9分 一畑電気鉄道松江線/大津町駅 歩14分 ＪＲ山陰本線/出雲市駅 歩23分 , 築16年 3階建 ,             1階,6.4万円,-,12.8万円,6.4万円,2LDK,58.56m2
レジデンス枝大津,島根県出雲市枝大津町, ＪＲ山陰本線/出雲市駅 バス4分 (バス停)商工会議所入口 歩9分 一畑電気鉄道松江線/大津町駅 歩14分 ＪＲ山陰本線/出雲市駅 歩23分 , 築16年 3階建 ,             2階,6.6万円,-,13.2万円,6.6万円,2LDK,58.56m2
ＪＲ山陰本線 出雲市駅 2階建 築16年,島根県出雲市大津朝倉１, ＪＲ山陰本線/出雲市駅 バス8分 (バス停)姫原町 歩11分 ＪＲ山陰本線/出雲市駅 歩23分 一畑電気鉄道松江線/大津町駅 歩18分 , 築16年 2階建 ,             2階,5.3万円,4500円,-,5.3万円,1K,28.02m2
ＪＲ山陰本線 出雲市駅 2階建 築18年,島根県出雲市大津朝倉１, ＪＲ山陰本線/出雲市駅 バス8分 (バス停)姫原町 歩11分 ＪＲ山陰本線/出雲市駅 歩25分 一畑電気鉄道松江線/大津町駅 歩19分 , 築18年 2階建 ,             1階,5万円,4500円,-,5万円,2DK,49.2m2
フォルクローロ,島根県出雲市大社町中荒木, ＪＲ山陰本線/出雲市駅 バス17分 (バス停)浜根 歩1分 一畑電車大社線/出雲大社前駅 歩33分  , 築18年 3階建 ,             1階,5.9万円,-,11.8万円,5.9万円,2LDK,59.85m2
フォルクローロ,島根県出雲市大社町中荒木, ＪＲ山陰本線/出雲市駅 バス17分 (バス停)浜根 歩1分 一畑電車大社線/出雲大社前駅 歩33分  , 築18年 3階建 ,             2階,7万円,-,21万円,7万円,3LDK,69.43m2
メゾンドルミエール,島根県出雲市矢野町, ＪＲ山陰本線/出雲市駅 バス17分 (バス停)満願寺前 歩4分 一畑電車大社線/遙堪駅 歩25分 ＪＲ山陰本線/出雲市駅 歩36分 , 築22年 2階建 ,             1階,4.8万円,-,9.6万円,4.8万円,2DK,44.06m2
メゾンドルミエール,島根県出雲市矢野町, ＪＲ山陰本線/出雲市駅 バス17分 (バス停)満願寺前 歩4分 一畑電車大社線/遙堪駅 歩25分 ＪＲ山陰本線/出雲市駅 歩36分 , 築22年 2階建 ,             2階,4.8万円,-,9.6万円,4.8万円,2DK,44.06m2
メゾンドルミエール,島根県出雲市矢野町, ＪＲ山陰本線/出雲市駅 バス17分 (バス停)満願寺前 歩4分 一畑電車大社線/遙堪駅 歩25分 ＪＲ山陰本線/出雲市駅 歩36分 , 築22年 2階建 ,             2階,4.8万円,-,9.6万円,4.8万円,2DK,44.06m2
メゾンドルミエール,島根県出雲市矢野町, ＪＲ山陰本線/出雲市駅 バス17分 (バス停)満願寺前 歩4分 一畑電車大社線/遙堪駅 歩25分 ＪＲ山陰本線/出雲市駅 歩36分 , 築22年 2階建 ,             2階,5.6万円,-,11.2万円,5.6万円,2LDK,60.13m2
メゾンドルミエール,島根県出雲市矢野町, ＪＲ山陰本線/出雲市駅 バス17分 (バス停)満願寺前 歩4分 一畑電車大社線/遙堪駅 歩25分 ＪＲ山陰本線/出雲市駅 歩36分 , 築22年 2階建 ,             1階,5.6万円,-,11.2万円,5.6万円,2LDK,58.12m2
メゾンドルミエール,島根県出雲市矢野町, ＪＲ山陰本線/出雲市駅 バス17分 (バス停)満願寺前 歩4分 一畑電車大社線/遙堪駅 歩25分 ＪＲ山陰本線/出雲市駅 歩36分 , 築22年 2階建 ,             1階,5.6万円,-,11.2万円,5.6万円,2LDK,58.12m2
メゾンドルミエール,島根県出雲市矢野町, ＪＲ山陰本線/出雲市駅 バス17分 (バス停)満願寺前 歩4分 一畑電車大社線/遙堪駅 歩25分 ＪＲ山陰本線/出雲市駅 歩36分 , 築22年 2階建 ,             2階,5.6万円,-,11.2万円,5.6万円,2LDK,58.12m2
シードグラン,島根県出雲市大塚町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)三中 歩3分 一畑電車大社線/高浜駅 歩18分 ＪＲ山陰本線/出雲市駅 歩27分 , 築16年 3階建 ,             1階,6.4万円,-,12.8万円,6.4万円,2LDK,58.86m2
ヴィラ北村,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス3分 (バス停)観音寺西 歩5分 ＪＲ山陰本線/出雲市駅 歩18分  , 築33年 4階建 ,             1階,5.3万円,-,10.6万円,-,3LDK,72m2
ヴィラ北村,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス3分 (バス停)観音寺西 歩5分 ＪＲ山陰本線/出雲市駅 歩18分  , 築33年 4階建 ,             2階,5.3万円,-,10.6万円,-,3LDK,72m2
ヴィラ北村,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス3分 (バス停)観音寺西 歩5分 ＪＲ山陰本線/出雲市駅 歩18分  , 築33年 4階建 ,             1階,5.3万円,-,10.6万円,-,2LDK,72m2
ヴィラ北村,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス3分 (バス停)観音寺西 歩5分 ＪＲ山陰本線/出雲市駅 歩18分  , 築33年 4階建 ,             2階,5.6万円,-,11.2万円,-,3LDK,72m2
ヴィラ北村,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス3分 (バス停)観音寺西 歩5分 ＪＲ山陰本線/出雲市駅 歩18分  , 築33年 4階建 ,             3階,5.6万円,-,11.2万円,-,3LDK,72m2
レオパレスラ　ルーナＢ,島根県出雲市大津朝倉１, ＪＲ山陰本線/出雲市駅 バス8分 (バス停)姫原町 歩11分 ＪＲ山陰本線/出雲市駅 歩25分 一畑電気鉄道松江線/大津町駅 歩19分 , 築18年 2階建 ,             1階,6.1万円,4500円,-,6.1万円,2DK,49.2m2
コーポＣＩＴＹ４,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 バス5分 (バス停)塩冶 歩2分 ＪＲ山陰本線/出雲市駅 歩14分  , 築18年 2階建 ,             2階,5.7万円,-,11.4万円,5.7万円,1LDK,48.15m2
コーポＣＩＴＹ４,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 バス5分 (バス停)塩冶 歩2分 ＪＲ山陰本線/出雲市駅 歩14分  , 築18年 2階建 ,             1階,5.7万円,-,11.4万円,5.7万円,1LDK,48.15m2
コーポＭＩＳＴＹ,島根県出雲市塩冶神前２, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)神前一丁目 歩2分 ＪＲ山陰本線/出雲市駅 歩17分  , 築19年 4階建 ,             4階,5.6万円,-,11.2万円,-,1LDK,44.15m2
コーポＭＩＳＴＹ,島根県出雲市塩冶神前２, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)神前一丁目 歩2分 ＪＲ山陰本線/出雲市駅 歩17分  , 築19年 4階建 ,             4階,5.6万円,-,11.2万円,-,1LDK,44.02m2
アースハイツ,島根県出雲市里方町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)里方町 歩9分 一畑電車大社線/高浜駅 歩11分 ＪＲ山陰本線/出雲市駅 歩42分 , 築29年 2階建 ,             2階,5.3万円,-,10.6万円,-,3DK,59.27m2
アースハイツ,島根県出雲市里方町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)里方町 歩9分 一畑電車大社線/高浜駅 歩11分 ＪＲ山陰本線/出雲市駅 歩42分 , 築29年 2階建 ,             2階,5.3万円,-,10.6万円,-,3DK,59.27m2
アースハイツ,島根県出雲市里方町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)里方町 歩9分 一畑電車大社線/高浜駅 歩11分 ＪＲ山陰本線/出雲市駅 歩42分 , 築29年 2階建 ,             2階,5.3万円,-,10.6万円,-,3DK,59.27m2
アースハイツ,島根県出雲市里方町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)里方町 歩9分 一畑電車大社線/高浜駅 歩11分 ＪＲ山陰本線/出雲市駅 歩42分 , 築29年 2階建 ,             2階,5.3万円,-,10.6万円,-,3DK,59.27m2
サン・ジョルノ,島根県出雲市矢野町, ＪＲ山陰本線/出雲市駅 バス17分 (バス停)八野神社入口 歩3分 一畑電車大社線/高浜駅 歩21分 ＪＲ山陰本線/出雲市駅 歩38分 , 築26年 4階建 ,             3階,5.9万円,-,11.8万円,-,3LDK,70.57m2
メゾンフローラル,島根県出雲市姫原２, ＪＲ山陰本線/出雲市駅 バス4分 (バス停)中之島 歩6分 ＪＲ山陰本線/出雲市駅 歩16分  , 築29年 2階建 ,             1階,5.5万円,-,11万円,-,2LDK,61.29m2
ＴＯＭＯＲＲＯＷ　ＨＯＵＳＥ,島根県出雲市塩冶神前２, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)神前一丁目 歩4分 ＪＲ山陰本線/出雲市駅 歩16分  , 築25年 2階建 ,             1階,5.8万円,-,11.6万円,-,2LDK,54m2
